Category,Type,SubTypeField,operation,SubType,,,
Windows DNS Events via AMA,ASimDnsActivityLogs,EventProduct,=,DNS Server,,,
Microsoft Entra ID,AuditLogs,,,,,,
Microsoft Entra ID,SigninLogs,,,,,,
Microsoft Entra ID,AADNonInteractiveUserSignInLogs,,,,,,
Microsoft Entra ID,AADRiskyUsers,,,,,,
Microsoft Entra ID,AADRiskyServicePrincipals,,,,,,
Microsoft Entra ID,AADServicePrincipalRiskEvents,,,,,,
Microsoft Entra ID,ADFSSignInLogs,,,,,,
Microsoft Entra ID,NetworkAccessTraffic,,,,,,
Microsoft Entra ID,AADUserRiskEvents,,,,,,
Microsoft Entra ID,AADServicePrincipalSignInLogs,,,,,,
Microsoft Entra ID,AADManagedIdentitySignInLogs,,,,,,
Microsoft Entra ID,AADProvisioningLogs,,,,,,
Microsoft Entra ID Protection,SecurityAlert,ProductName,=,Azure Active Directory Identity Protection,,,
Azure Key Vault,AzureDiagnostics,ResourceProvider,=,MICROSOFT.KEYVAULT,,,
Network Security Groups,AzureDiagnostics,Category,in~,NetworkSecurityGroupEvent|NetworkSecurityGroupRuleCounter,,,
AzureFirewall,AZFWApplicationRule,,,,,,
AzureFirewall,AZFWApplicationRuleAggregation,,,,,,
AzureFirewall,AZFWDnsQuery,,,,,,
AzureFirewall,AZFWIdpsSignature,,,,,,
AzureFirewall,AZFWNatRule,,,,,,
AzureFirewall,AZFWNatRuleAggregation,,,,,,
AzureFirewall,AZFWNetworkRule,,,,,,
AzureFirewall,AZFWNetworkRuleAggregation,,,,,,
WindowsFirewall,WindowsFirewall,,,,,,
Custom Events,Event,,,,,,
User Entity Behavior Analytics,BehaviorAnalytics,,,,,,
User Entity Behavior Analytics,UserPeerAnalytics,,,,,,
User Entity Behavior Analytics,UserAccessAnalytics,,,,,,
User Entity Behavior Analytics,IdentityInfo,,,,,,
Microsoft Defender for Endpoint,DeviceLogonEvents,,,,,,
Microsoft Defender for Endpoint,DeviceEvents,,,,,,
Microsoft Defender for Endpoint,DeviceNetworkInfo,,,,,,
Microsoft Defender for Endpoint,DeviceImageLoadEvents,,,,,,
